word,sentiment
maahanmuuttopoliittinen,1
hautausse,-1
ylimpillulis,-1
sikkaillu,1
vaivaamaanmietit,1
kaveriksiolisin,1
kiinnostaaki,1
nazi pope,-2
vapaaaikakeskus,1
vapaaaikatoimi,1
angloameriikkalainen,1
pahalt,-1
paskanjauhamis,-1
halilutuset,1
syntinenpunainen,-1
vaaatii,1
syntipunainen,-1
kuusaanmäkee,1
merkkivaatteinen,1
poiijaat,1
shokkijulkisuushakuinen,-2
boooaaaa,1
paskasilla,-1
palomuurii,1
laittamut,-1
iloittelemaan,1
liisaliimataiset,1
pahaankohtaus,-1
puhukkaa,1
monihaarainenuusi,1
haekkaa,1
tyhmämies,-1
korruptoitutunut,-2
kiinnnostaa,1
hyvähenkinen,1
väkivaltaseks,-1
urheillaankkuri,1
kuulkaat,1
hyvältäettä,1
virtuaalimaailmana,1
sitikkaa,1
laittanyt,-1
nuikkaa,1
vikkelästikkin,1
ollutsurullista,-1
seikkailuunmies,1
normaaliikä,1
maaliittimeenpunainen,1
hyökkäyksellinen,-2
reiluu,1
niiissä,1
hitaallaa,1
halvataa,-1
järkkyttävää,1
kuuluuvaan,1
idiooti,-2
hyvää,1
hautausmainen,-1
ystävällisesiokeudenmukainen,1
hymyjospa,1
loukkaantuakierre,1
kuuluuku,1
voimaakkampana,1
helpottaavanha,1
pyykkikorea,1
vaiikka,1
kaunkirjalliset,1
kuoolevaainen,1
rakkaat,1
valencian,-1
liukasliikkeinen,1
varavaltuuttaa,1
irtileikkaamaton,1
rauhainen,1
suoaattaapi,1
liikkeellepaneva,1
amorditugilaagri,1
palkaaa,1
talkootihana,1
kosteusvauriorakennustyöpaikkalainen,-1
iki onnellinen,1
nsruma,-1
paskempia,-1
kilttieli,1
nukkuuu,1
vaaseen,1
rikkaat,1
pedofiili mielisairas häiriintynyt pervo,-4
tarkkaa,1
harmittiei,-1
laittias,-1
masennuskaltainen,-1
pahimmilaan,-1
maailmakolkka,1
uuspalestiinalaisia,1
liiankii,1
hkkkph,1
kesäviikkoloppu,1
ikionnellinen,1
perkkaa,1
upgreidaamaan,1
pakkomyymäsi,1
hyvähöylätä,1
herkkäliikkeinen,1
myydäkkin,1
asentoinen,-1
itsevarmaaan,1
kuuklettaa,1
työttömiä,-1
hymyileväinen,1
kaaoottinen,-1
jotensakkiin,1
upiikki,1
valkoviinii,1
hyväääää,2
iiiihan,1
nuutti,1
kaivatakkaan,1
vallankaappaamis,1
kauniita,1
jakkaratyylinen,1
yleinenisänmaallisuus,1
viharikollinen,-1
ystävyyys,2
tiukkaalle,1
muuttuvasiipisen,1
huomakkaa,1
elämälaittakaa,-1
taaaaaaaaaaaaas,1
tykkaa,1
valehtemaan,-1
muuttuvakurkkuinen,1
voimakkaammin,1
haahuaa,1
mamu aiheista,-1
surullisenkuuluisa,-1
villkaaammin,1
charmantti,1
imuuttaa,1
spurgui,-1
halidai,1
sievä kaunis,1
aakkos,1
rakkauttaa,1
viikkkoo,1
kajjjaanilaisen,1
huhhuhh,1
huorailu,-2
saanukkaan,1
sellaisiiin,1
riipuu,1
hyväksikäytetyn,-2
maksaaa,1
kusipäisyydeksi,-1
paskainenuusi,-1
valejuutalainen,-1
valejuutalainenuskonto,-1
hyväksihavaitusta,1
mamu vastainen,-1
quickkii,1
surutkeksi,-1
kilttipupu,1
rauhaisaais,1
vakavaaa,1
masennusperäinen,-1
tiiviisssä,1
vankeinhoitovirkaomainen,-1
vapaaehtoistaa,1
ameriikkalaisten,1
kostain,-1
sairaaaksi,1
viikkoi,1
erillaasii,1
kumpaankiin,1
ylpeänäköinen,1
vihataa,-1
nokkakoputtaa,1
jonkuukaa,1
idiootimainen,-2
itkuherkkä,-1
mukaaa,1
impuusiviihäiriö,1
vakavakorruption,-2
uuusina,1
vastaavaapartco,1
rikoslainen,-1
uusliberaalisella,1
uusimaatyösuojellapiiri,1
leikkiikäinen,1
liitykirkkoonfi,1
irkkii,1
pimpsukkaa,1
paaliinka,1
eu kritiikki,1
nskiiluu,1
hymynihan,1
valetodistavat,-1
hyvähyvä,1
kiinnoistaa,1
taagii,1
kärsivätä,-2
lahjontavastainen,-1
tukkiutuu,1
kihlojaavioliittoamy,2
raatelii,1
perus hyvä,1
hauskaavai,1
kirjoitakkaan,1
liukkallla,1
israel uutisiin,1
maallikkotasoinen,1
loistavaa,1
runsaanpaa,1
keskeviikkkona,1
hymysuinen,1
kunnallinenvaltuuttaa,1
hulluu,-2
luukkutäysi,1
pahinmmasta,-1
laittaasill,1
loppuunajettuun,1
kurjaolo,-1
pahintä,-1
viissataayhreksänkymppiä,1
kumittamaakkaan,1
symppaattisuus,1
uulkomaalaisesata,1
kondensoimaann,1
liukkaanajopit,1
positiivisii,1
liikenteellelaittakaa,-1
